aX,aY,aZ,gX,gY,gZ
0.817,-0.461,0.594,-58.350,-89.722,-1.953
0.777,-0.443,0.542,-61.523,-96.069,-1.953
0.789,-0.483,0.600,-64.941,-97.412,-3.235
0.630,-0.451,0.574,-69.336,-95.581,-4.272
0.765,-0.476,0.623,-73.242,-92.590,-3.845
0.596,-0.400,0.649,-76.172,-91.064,-1.404
0.762,-0.410,0.640,-77.026,-94.238,4.517
0.597,-0.372,0.689,-76.599,-97.473,10.681
0.721,-0.384,0.651,-75.562,-101.501,16.602
0.576,-0.377,0.726,-74.463,-105.347,21.667
0.577,-0.372,0.680,-73.730,-106.201,25.635
0.551,-0.361,0.745,-74.219,-102.600,27.466
0.476,-0.281,0.708,-74.402,-97.168,27.405
0.552,-0.268,0.759,-71.716,-93.872,27.039
0.362,-0.185,0.778,-68.176,-89.600,27.161
0.541,-0.217,0.787,-64.026,-82.581,28.076
0.341,-0.193,0.794,-59.143,-78.735,31.372
0.461,-0.234,0.746,-55.298,-76.843,36.377
0.262,-0.224,0.790,-53.833,-70.557,39.368
0.382,-0.234,0.730,-53.955,-60.730,39.795
0.330,-0.215,0.801,-54.016,-54.443,37.781
0.354,-0.171,0.756,-53.833,-52.307,35.217
0.426,-0.181,0.826,-53.711,-51.147,31.372
0.343,-0.114,0.791,-53.406,-49.744,26.978
0.478,-0.109,0.821,-51.147,-48.767,22.583
0.275,-0.034,0.830,-47.668,-47.302,18.066
0.427,-0.054,0.821,-43.945,-43.396,14.160
0.298,-0.099,0.922,2.686,5.005,1.160
0.498,-0.138,0.902,4.639,5.371,0.793
0.324,-0.118,0.941,6.409,5.737,0.305
0.481,-0.145,0.872,7.690,5.981,0.305
0.381,-0.153,0.922,8.362,6.104,-0.183
0.433,-0.150,0.835,7.629,5.920,-0.183
0.447,-0.176,0.889,6.348,5.249,-0.671
0.375,-0.141,0.829,4.456,4.272,-0.977
0.498,-0.177,0.871,2.441,2.991,-0.916
0.324,-0.126,0.857,0.244,1.343,-0.549
0.510,-0.161,0.868,-1.343,0.305,-0.366
0.306,-0.107,0.899,-2.502,-0.427,-0.244
0.489,-0.122,0.874,-2.502,-0.305,0.122
0.325,-0.092,0.937,-1.526,-0.061,0.122
0.434,-0.095,0.877,0.183,1.038,0.732
0.380,-0.105,0.939,2.319,2.075,0.916
0.373,-0.088,0.861,4.211,2.319,1.465
0.443,-0.129,0.908,5.493,2.930,1.709
0.329,-0.096,0.850,5.432,3.540,1.831
0.498,-0.144,0.871,5.066,3.235,2.075
0.307,-0.100,0.865,3.906,2.502,2.380
0.514,-0.142,0.856,2.930,2.441,2.502
0.322,-0.109,0.895,2.502,1.709,2.502
0.480,-0.126,0.850,2.197,0.977,2.747
0.360,-0.117,0.913,1.953,0.610,2.441
0.417,-0.109,0.847,2.136,0.305,2.075
0.414,-0.132,0.914,2.197,0.427,1.404
0.353,-0.102,0.853,2.380,0.427,0.854
0.471,-0.145,0.898,2.686,0.305,0.305
0.306,-0.099,0.868,2.686,-0.061,0.305
0.494,-0.147,0.877,2.747,0.610,0.244
0.292,-0.106,0.888,2.502,1.160,0.122
0.479,-0.141,0.857,2.502,1.343,0.549
0.320,-0.116,0.902,2.441,1.770,0.854
0.448,-0.118,0.842,2.502,1.465,1.465
0.373,-0.113,0.916,3.113,0.916,2.014
0.380,-0.093,0.851,3.601,1.404,2.625
0.433,-0.130,0.912,4.639,2.136,2.625
0.314,-0.093,0.863,5.432,2.380,2.625
0.470,-0.142,0.888,5.676,3.052,2.563
0.292,-0.104,0.869,5.249,3.174,2.197
0.496,-0.149,0.855,4.822,2.502,2.197
0.303,-0.111,0.890,4.395,1.526,1.892
0.474,-0.128,0.846,3.845,2.014,1.465
0.353,-0.120,0.910,4.089,2.563,0.977
0.429,-0.117,0.844,4.883,2.197,1.038
0.417,-0.143,0.908,5.798,1.709,0.793
0.367,-0.121,0.844,5.859,1.465,0.732
