aX,aY,aZ,gX,gY,gZ
-0.026,-0.050,1.011,0.854,0.854,2.625
-0.018,-0.026,0.914,2.014,1.160,2.319
0.048,-0.020,0.897,1.526,1.648,1.526
-0.019,-0.036,0.987,1.282,1.465,1.648
0.120,-0.059,1.053,0.916,1.953,1.587
-0.071,0.002,0.994,1.221,0.488,1.831
0.041,-0.051,0.983,1.160,1.770,1.343
0.053,-0.015,0.959,1.343,1.038,1.831
-0.019,-0.016,0.880,0.793,1.282,2.136
0.084,-0.094,1.057,0.732,0.427,2.625
-0.011,-0.025,0.899,0.183,0.244,1.892
0.035,-0.032,0.825,1.099,2.014,1.282
0.030,0.003,0.962,1.221,0.854,1.587
0.068,-0.066,1.123,0.122,0.305,1.953
-0.096,-0.042,1.000,0.671,0.793,2.563
0.094,-0.064,0.977,1.221,1.648,2.625
0.041,-0.055,1.105,1.160,1.465,2.258
-0.064,0.005,0.722,0.305,1.160,0.916
0.073,0.024,0.826,1.648,1.770,0.305
0.099,-0.043,1.094,2.441,1.282,0.854
0.075,-0.088,1.063,0.916,0.549,1.892
-0.001,-0.034,0.964,0.854,1.099,2.686
-0.005,-0.005,0.848,1.404,1.221,3.113
0.079,-0.010,0.908,1.343,1.160,2.869
0.023,-0.058,1.078,1.709,0.854,2.502
0.051,-0.081,1.042,1.160,0.977,2.808
0.034,-0.076,0.987,0.916,0.977,2.808
-0.013,-0.038,0.856,1.221,0.732,2.258
-0.032,-0.005,0.825,1.282,1.465,1.892
0.176,-0.020,1.027,0.916,1.770,1.831
